AÑO;DEN;POBH;POBM;IPC;IF;PIB;SAL
2023;46;25818556;26502596;0.09;1.2;0.61;1160000
2022;45;25533693;26204251;0.13;1.69;7.29;1000000
2021;45;25273270;25914903;0.06;1.72;10.8;908526
2020;44;25013101;25616896;0.02;1.74;-7.19;877803
2019;43;24664044;25243941;0.04;1.77;3.19;828116
2018;42;24229130;24795335;0.03;1.79;2.56;781242
2017;42;23789069;24342009;0.04;1.82;1.36;737717
2016;41;23448707;23988805;0.06;1.84;2.09;689455
2015;41;23221563;23748377;0.07;1.86;2.96;644350
2014;40;23026431;23538998;0.04;1.88;4.5;616000
2013;40;22827016;23324568;0.02;1.91;5.13;589500
2012;39;22616962;23098848;0.02;1.93;3.91;566700
2011;39;22396798;22862816;0.04;1.96;6.95;535600
2010;39;22163441;22613878;0.03;1.99;4.49;515000
2009;38;21918269;22353272;0.02;2.03;1.14;496900
2008;38;21670024;22088784;0.08;2.08;3.28;461500
2007;37;21416887;21818487;0.06;2.14;6.74;433700
2006;37;21153219;21537865;0.04;2.2;6.72;408000
2005;36;20880218;21248759;0.05;2.26;4.83;381500
2004;36;20595401;20947770;0.06;2.33;5.33;358000
2003;36;20301319;20636110;0.06;2.4;3.92;332000
2002;35;20005151;20319529;0.07;2.46;2.5;309000
2001;35;19708939;20000323;0.08;2.52;1.68;286000
2000;34;19411115;19678819;0.09;2.57;2.92;260100
1999;34;19104954;19349909;0.09;2.63;-4.2;236460
1998;33;18784170;19007995;0.17;2.68;0.57;203826
1997;33;18458959;18662190;0.18;2.74;3.43;172005
1996;32;18140058;18322687;0.22;2.8;2.06;142125
1995;32;17821401;17983261;0.22;2.86;5.2;118934
1994;31;17493607;17633803;0.19;2.92;5.81;98700
1993;31;17162346;17279127;0.23;2.97;5.39;81510
1992;30;16834498;16926073;0.23;3.01;4.04;65190
1991;30;16515771;16582601;0.25;3.05;2;51720
1990;29;16197632;16242437;0.27;3.08;4.28;41025
1989;28;15875265;15901014;0.32;3.12;3.41;32560
1988;28;15560724;15569800;0.26;3.16;4.06;25637
1987;27;15252450;15247017;0.28;3.21;5.37;20510
1986;27;14948029;14931083;0.24;3.27;5.82;16811.4
1985;26;14646940;14621530;0.21;3.34;3.11;13557.6
1984;26;14336946;14305744;0.22;3.43;3.35;11298
1983;26;14011464;13976709;0.18;3.53;1.57;11298
1982;25;13687577;13650754;0.17;3.63;0.95;7410
1981;25;13375805;13337462;0.24;3.74;2.28;5700
1980;24;13072046;13032452;0.26;3.86;4.09;4500
1979;22;12777886;12737740;0.26;3.97;5.38;3450
1978;22;12494975;12455362;0.29;4.07;8.47;2580
1977;21;12215636;12177858;0.18;4.18;4.16;2340
1976;21;11946933;11911877;0.29;4.29;4.73;1560
1975;20;11688282;11656362;0.18;4.4;2.32;1200
1974;20;11430947;11402522;0.26;4.53;5.75;1110
1973;20;11174927;11150447;0.24;4.68;6.72;660
1972;19;10919767;10899796;0.14;4.86;7.67;570
1971;19;10666932;10652164;0.14;5.06;5.96;544.95
1970;18;10410304;10401478;0.07;5.28;6.21;519
1969;18;10147043;10144899;0.09;5.51;6.1;519
1968;17;9880746;9886050;0.07;5.74;5.93;420
1967;17;9611124;9624494;0.07;5.96;4.13;420
1966;16;9340471;9362217;0.13;6.16;5.24;250
1965;16;9069523;9099527;0.14;6.33;3.6;420
1964;15;8799798;8837613;0.09;6.48;6.17;295.68
1963;15;8534320;8579503;0.34;6.58;3.29;268.8
1962;15;8273498;8325531;0.06;6.66;5.41;240
1961;14;8018493;8076710;0.06;6.71;5.09;219
1960;14;7771209;7835000;0.07;6.74;0.46;198
